Provinsi,Tahun,Laju Pertumbuhan Produk Domestik Regional Bruto  Atas Dasar Harga Konstan 2010 Menurut Provinsi (persen),[Metode Baru] Pengeluaran Perkapita Disesuaikan,TPT,Kemiskinan,Gini_Ratio,IPM ,Stunting
Aceh,2021,2.81,9572,6.3,15.33,0.3235,72.18,33.2
Aceh,2022,4.21,9963,6.17,14.64,0.301,72.8,31.2
Aceh,2023,4.23,10334,6.03,14.45,0.296,73.4,29.4
Aceh,2024,4.66,10811,5.75,14.23,0.294,74.03,28.6
Sumatera Utara,2021,2.61,10499,6.33,9.01,0.3135,72,25.8
Sumatera Utara,2022,4.73,10848,6.16,8.42,0.319,72.71,21.1
Sumatera Utara,2023,5.01,11049,5.89,8.15,0.309,73.37,18.9
Sumatera Utara,2024,5.03,11460,5.6,7.99,0.3015,74.02,22
Sumatera Barat,2021,3.29,10790,6.52,6.63,0.303,72.65,23.3
Sumatera Barat,2022,4.36,11130,6.28,5.92,0.296,73.26,25.2
Sumatera Barat,2023,4.62,11380,5.94,5.95,0.28,73.75,23.6
Sumatera Barat,2024,4.37,11718,5.75,5.97,0.285,74.49,24.9
Riau,2021,3.36,10736,4.42,7.12,0.3265,72.94,22.3
Riau,2022,4.55,11158,4.37,6.78,0.3245,73.52,17
Riau,2023,4.21,11448,4.23,6.68,0.324,74.04,13.6
Riau,2024,3.52,11857,3.7,6.67,0.3065,74.79,20.1
Jambi,2021,3.7,10588,5.09,8.09,0.318,71.63,22.4
Jambi,2022,5.12,10871,4.59,7.62,0.3275,72.14,18
Jambi,2023,4.65,11160,4.53,7.58,0.343,72.77,13.5
Jambi,2024,4.5,11621,4.48,7.1,0.318,73.43,17.1
Sumatera Selatan,2021,3.58,10662,4.98,12.84,0.3405,70.24,24.8
Sumatera Selatan,2022,5.24,11109,4.63,11.9,0.3345,70.9,18.6
Sumatera Selatan,2023,5.08,11472,4.11,11.78,0.338,71.62,20.3
Sumatera Selatan,2024,5.03,12015,3.86,10.97,0.332,72.3,15.9
Bengkulu,2021,3.27,10487,3.65,15.22,0.3235,71.64,22.1
Bengkulu,2022,4.31,10840,3.59,14.62,0.315,72.16,19.8
Bengkulu,2023,4.28,11172,3.42,14.04,0.333,72.78,20.2
Bengkulu,2024,4.62,11733,3.11,13.56,0.3425,73.39,18.8
Lampung,2021,2.77,10038,4.69,12.62,0.3185,69.9,18.5
Lampung,2022,4.28,10336,4.52,11.57,0.3135,70.45,15.2
Lampung,2023,4.55,10769,4.23,11.11,0.324,71.15,14.9
Lampung,2024,4.57,11258,4.19,10.69,0.3015,71.81,15.9
Kepulauan Bangka Belitung,2021,5.05,12819,5.03,4.9,0.2515,71.69,18.6
Kepulauan Bangka Belitung,2022,4.4,13358,4.77,4.45,0.2455,72.24,18.5
Kepulauan Bangka Belitung,2023,4.38,13589,4.56,4.52,0.245,72.85,20.6
Kepulauan Bangka Belitung,2024,0.77,13667,4.63,4.55,0.2395,73.33,20.1
