Provinsi,Cluster
ACEH,2
BALI,2
BANTEN,2
BENGKULU,1
DI YOGYAKARTA,0
DKI JAKARTA,1
GORONTALO,1
JAMBI,1
JAWA BARAT,1
JAWA TENGAH,2
JAWA TIMUR,1
KALIMANTAN BARAT,1
KALIMANTAN SELATAN,2
KALIMANTAN TENGAH,2
KALIMANTAN TIMUR,2
KALIMANTAN UTARA,2
KEPULAUAN BANGKA BELITUNG,0
KEPULAUAN RIAU,1
LAMPUNG,2
MALUKU,2
MALUKU UTARA,1
NUSA TENGGARA BARAT,2
NUSA TENGGARA TIMUR,2
PAPUA,0
PAPUA BARAT,2
RIAU,2
SULAWESI BARAT,2
SULAWESI SELATAN,2
SULAWESI TENGAH,0
SULAWESI TENGGARA,2
SULAWESI UTARA,2
SUMATERA BARAT,2
SUMATERA SELATAN,2
SUMATERA UTARA,2
